Gamma,Lambda,Accuracy
2.223e-05,1e-06,17.26618705035971
2.223e-05,1.33e-06,18.345323741007196
2.223e-05,1.76e-06,14.388489208633093
2.223e-05,2.33e-06,21.942446043165468
2.223e-05,3.09e-06,19.06474820143885
2.223e-05,4.09e-06,20.14388489208633
2.223e-05,5.43e-06,56.4748201438849
2.223e-05,7.2e-06,68.34532374100719
2.223e-05,9.54e-06,71.94244604316546
2.223e-05,1.265e-05,78.41726618705036
2.223e-05,1.677e-05,79.49640287769785
2.223e-05,2.223e-05,76.97841726618705
2.223e-05,2.947e-05,81.65467625899281
2.223e-05,3.907e-05,84.17266187050359
2.223e-05,5.179e-05,84.17266187050359
2.223e-05,6.866e-05,82.01438848920863
2.223e-05,9.103e-05,81.29496402877699
2.223e-05,0.00012068,83.45323741007195
2.223e-05,0.00015999,84.17266187050359
2.223e-05,0.0002121,80.2158273381295
2.223e-05,0.00028118,79.13669064748201
2.223e-05,0.00037276,79.85611510791367
2.223e-05,0.00049417,79.13669064748201
2.223e-05,0.00065513,77.6978417266187
2.223e-05,0.00086851,76.61870503597122
2.223e-05,0.0011514,75.53956834532374
2.223e-05,0.00152642,75.89928057553958
2.223e-05,0.00202359,74.82014388489209
2.223e-05,0.0026827,74.10071942446042
2.223e-05,0.00355648,72.3021582733813
2.223e-05,0.00471487,71.94244604316546
2.223e-05,0.00625055,71.22302158273382
2.223e-05,0.00828643,69.7841726618705
2.223e-05,0.01098541,69.06474820143885
2.223e-05,0.01456348,67.98561151079137
2.223e-05,0.01930698,65.82733812949641
2.223e-05,0.02559548,64.02877697841727
2.223e-05,0.03393222,62.94964028776978
2.223e-05,0.04498433,60.07194244604317
2.223e-05,0.05963623,58.63309352517986
2.223e-05,0.07906043,58.27338129496403
2.223e-05,0.10481131,56.11510791366906
2.223e-05,0.13894955,55.03597122302158
2.223e-05,0.184207,52.15827338129496
2.223e-05,0.24420531,50.719424460431654
2.223e-05,0.32374575,50.719424460431654
2.223e-05,0.42919343,48.92086330935252
2.223e-05,0.5689866,48.561151079136685
2.223e-05,0.75431201,46.76258992805755
2.223e-05,1.0,45.32374100719424
2.947e-05,1e-06,19.424460431654676
2.947e-05,1.33e-06,16.18705035971223
2.947e-05,1.76e-06,14.028776978417264
