Gamma,Lambda,Accuracy
3.09e-06,0.01930698,100.0
3.09e-06,0.02559548,100.0
3.09e-06,0.03393222,100.0
3.09e-06,0.04498433,100.0
3.09e-06,0.05963623,100.0
3.09e-06,0.07906043,100.0
3.09e-06,0.10481131,100.0
3.09e-06,0.13894955,100.0
3.09e-06,0.184207,100.0
3.09e-06,0.24420531,100.0
3.09e-06,0.32374575,100.0
3.09e-06,0.42919343,100.0
3.09e-06,0.5689866,100.0
3.09e-06,0.75431201,100.0
3.09e-06,1.0,100.0
4.09e-06,1e-06,89.4927536231884
4.09e-06,1.33e-06,89.85507246376811
4.09e-06,1.76e-06,90.57971014492753
4.09e-06,2.33e-06,90.39855072463769
4.09e-06,3.09e-06,90.21739130434783
4.09e-06,4.09e-06,90.21739130434783
4.09e-06,5.43e-06,91.30434782608695
4.09e-06,7.2e-06,91.57608695652173
4.09e-06,9.54e-06,91.7572463768116
4.09e-06,1.265e-05,92.66304347826086
4.09e-06,1.677e-05,93.11594202898551
4.09e-06,2.223e-05,93.56884057971014
4.09e-06,2.947e-05,94.47463768115942
4.09e-06,3.907e-05,94.7463768115942
4.09e-06,5.179e-05,95.65217391304348
4.09e-06,6.866e-05,96.10507246376811
4.09e-06,9.103e-05,96.73913043478261
4.09e-06,0.00012068,97.46376811594203
4.09e-06,0.00015999,98.09782608695652
4.09e-06,0.0002121,98.55072463768117
4.09e-06,0.00028118,98.91304347826086
4.09e-06,0.00037276,99.09420289855072
4.09e-06,0.00049417,99.54710144927536
4.09e-06,0.00065513,99.72826086956522
4.09e-06,0.00086851,99.72826086956522
4.09e-06,0.0011514,99.72826086956522
4.09e-06,0.00152642,99.90942028985508
4.09e-06,0.00202359,99.90942028985508
4.09e-06,0.0026827,99.90942028985508
4.09e-06,0.00355648,99.90942028985508
4.09e-06,0.00471487,100.0
4.09e-06,0.00625055,100.0
4.09e-06,0.00828643,100.0
4.09e-06,0.01098541,100.0
4.09e-06,0.01456348,100.0
4.09e-06,0.01930698,100.0
4.09e-06,0.02559548,100.0
4.09e-06,0.03393222,100.0
4.09e-06,0.04498433,100.0
4.09e-06,0.05963623,100.0
4.09e-06,0.07906043,100.0
