Gamma,Lambda,Accuracy
1.33e-06,0.02559548,100.0
1.33e-06,0.03393222,99.93961352657004
1.33e-06,0.04498433,99.93961352657004
1.33e-06,0.05963623,99.8792270531401
1.33e-06,0.07906043,99.69806763285024
1.33e-06,0.10481131,99.39613526570048
1.33e-06,0.13894955,99.21497584541062
1.33e-06,0.184207,98.67149758454107
1.33e-06,0.24420531,97.76570048309179
1.33e-06,0.32374575,96.37681159420289
1.33e-06,0.42919343,94.20289855072464
1.33e-06,0.5689866,91.00241545893721
1.33e-06,0.75431201,86.23188405797102
1.33e-06,1.0,80.85748792270532
1.76e-06,1e-06,0.4830917874396135
1.76e-06,1.33e-06,0.24154589371980675
1.76e-06,1.76e-06,0.12077294685990338
1.76e-06,2.33e-06,0.36231884057971014
1.76e-06,3.09e-06,0.4830917874396135
1.76e-06,4.09e-06,0.30193236714975846
1.76e-06,5.43e-06,0.6642512077294686
1.76e-06,7.2e-06,0.30193236714975846
1.76e-06,9.54e-06,0.12077294685990338
1.76e-06,1.265e-05,0.30193236714975846
1.76e-06,1.677e-05,0.18115942028985507
1.76e-06,2.223e-05,94.68599033816425
1.76e-06,2.947e-05,98.36956521739131
1.76e-06,3.907e-05,98.42995169082126
1.76e-06,5.179e-05,98.67149758454107
1.76e-06,6.866e-05,98.85265700483092
1.76e-06,9.103e-05,98.85265700483092
1.76e-06,0.00012068,98.97342995169082
1.76e-06,0.00015999,98.85265700483092
1.76e-06,0.0002121,99.21497584541062
1.76e-06,0.00028118,99.33574879227052
1.76e-06,0.00037276,99.39613526570048
1.76e-06,0.00049417,99.51690821256038
1.76e-06,0.00065513,99.51690821256038
1.76e-06,0.00086851,99.57729468599034
1.76e-06,0.0011514,99.69806763285024
1.76e-06,0.00152642,99.69806763285024
1.76e-06,0.00202359,99.81884057971014
1.76e-06,0.0026827,99.81884057971014
1.76e-06,0.00355648,99.81884057971014
1.76e-06,0.00471487,99.81884057971014
1.76e-06,0.00625055,99.81884057971014
1.76e-06,0.00828643,99.81884057971014
1.76e-06,0.01098541,99.93961352657004
1.76e-06,0.01456348,99.93961352657004
1.76e-06,0.01930698,100.0
1.76e-06,0.02559548,100.0
1.76e-06,0.03393222,100.0
1.76e-06,0.04498433,99.93961352657004
1.76e-06,0.05963623,99.93961352657004
1.76e-06,0.07906043,99.8792270531401
1.76e-06,0.10481131,99.69806763285024
1.76e-06,0.13894955,99.39613526570048
1.76e-06,0.184207,99.21497584541062
1.76e-06,0.24420531,98.73188405797102
1.76e-06,0.32374575,97.82608695652173
1.76e-06,0.42919343,96.37681159420289
1.76e-06,0.5689866,94.32367149758454
1.76e-06,0.75431201,91.12318840579711
1.76e-06,1.0,86.11111111111111
2.33e-06,1e-06,0.30193236714975846
2.33e-06,1.33e-06,0.24154589371980675
2.33e-06,1.76e-06,0.4227053140096618
2.33e-06,2.33e-06,0.785024154589372
2.33e-06,3.09e-06,0.6642512077294686
2.33e-06,4.09e-06,0.6642512077294686
2.33e-06,5.43e-06,0.4830917874396135
2.33e-06,7.2e-06,0.36231884057971014
2.33e-06,9.54e-06,0.30193236714975846
2.33e-06,1.265e-05,0.18115942028985507
2.33e-06,1.677e-05,0.36231884057971014
2.33e-06,2.223e-05,97.52415458937197
2.33e-06,2.947e-05,98.67149758454107
2.33e-06,3.907e-05,98.73188405797102
2.33e-06,5.179e-05,98.73188405797102
2.33e-06,6.866e-05,98.85265700483092
2.33e-06,9.103e-05,98.91304347826086
2.33e-06,0.00012068,99.09420289855072
2.33e-06,0.00015999,99.03381642512076
2.33e-06,0.0002121,99.21497584541062
2.33e-06,0.00028118,99.39613526570048
2.33e-06,0.00037276,99.45652173913044
2.33e-06,0.00049417,99.45652173913044
2.33e-06,0.00065513,99.57729468599034
2.33e-06,0.00086851,99.57729468599034
2.33e-06,0.0011514,99.57729468599034
2.33e-06,0.00152642,99.69806763285024
2.33e-06,0.00202359,99.7584541062802
2.33e-06,0.0026827,99.81884057971014
2.33e-06,0.00355648,99.81884057971014
2.33e-06,0.00471487,99.81884057971014
2.33e-06,0.00625055,99.81884057971014
2.33e-06,0.00828643,99.81884057971014
2.33e-06,0.01098541,99.81884057971014
2.33e-06,0.01456348,99.93961352657004
2.33e-06,0.01930698,99.93961352657004
2.33e-06,0.02559548,100.0
2.33e-06,0.03393222,100.0
2.33e-06,0.04498433,100.0
2.33e-06,0.05963623,99.93961352657004
2.33e-06,0.07906043,99.93961352657004
2.33e-06,0.10481131,99.93961352657004
2.33e-06,0.13894955,99.69806763285024
2.33e-06,0.184207,99.39613526570048
2.33e-06,0.24420531,99.21497584541062
2.33e-06,0.32374575,98.85265700483092
